id,student_id,account_id,resource_type,score,quiz_id,etl_last_updated_ts
10292230,1096217,8393098,quiz,7,57.0,2023-08-10 01:22:46
10290795,1096217,8393098,movie,0,,2023-08-10 01:22:46
10291952,1096217,8393098,quiz,3,57.0,2023-08-10 01:22:46
11399627,1096217,8393098,movie,0,,2023-08-10 01:22:46
11400388,1096217,8393098,quiz,6,753.0,2023-08-10 01:22:46
10000011,1100063,8400001,quiz,10,80.0,2024-10-31 00:00:00
10000340,1100043,0,quiz,6,63.0,2024-12-24 00:00:00
10000394,1100034,8400001,movie,0,,2024-10-18 00:00:00
10000500,1100018,8400001,movie,0,,2024-11-18 00:00:00
10000523,1100032,8400001,movie,0,,2024-11-05 00:00:00
10000547,1100026,0,quiz,9,51.0,2024-11-01 23:59:58
10000674,1100007,0,movie,0,,2025-01-13 23:59:58
10000795,1100081,8400001,movie,0,,2024-11-21 00:00:00
10000841,1100034,8400001,movie,0,,2025-01-17 00:00:00
10001002,1100098,8400001,movie,0,,2025-01-06 00:00:00
10001126,1100013,0,quiz,9,79.0,2024-10-20 23:59:58
10001152,1100089,0,movie,0,,2024-10-20 23:59:58
10001160,1100026,0,movie,0,,2024-12-12 23:59:58
10001200,1100031,8400001,movie,0,,2024-11-21 00:00:00
10001401,1100064,8400002,movie,0,,2024-11-04 00:00:00
10001434,1100051,8400002,quiz,6,93.0,2024-11-06 00:00:00
10001492,1100020,0,quiz,1,78.0,2024-12-09 00:00:00
10001607,1100080,0,movie,0,,2024-12-16 00:00:00
10001698,1100086,0,movie,0,,2024-11-23 23:59:58
10001706,1100019,0,movie,0,,2024-10-20 00:00:00
10001846,1100011,0,quiz,3,65.0,2024-12-15 23:59:58
10001902,1100004,0,quiz,7,54.0,2024-12-17 23:59:58
10001974,1100017,8400002,quiz,7,84.0,2024-12-02 00:00:00
10002290,1100074,8400002,quiz,1,99.0,2025-01-17 00:00:00
10002537,1100078,8400002,quiz,5,89.0,2024-11-07 00:00:00
10002561,1100062,0,quiz,5,89.0,2024-10-18 00:00:00
10002604,1100018,8400001,movie,0,,2024-12-04 00:00:00
10002645,1100083,8400002,movie,0,,2025-01-17 00:00:00
10003201,1100044,0,quiz,4,70.0,2024-10-28 00:00:00
10003220,1100055,0,quiz,7,97.0,2024-10-28 23:59:58
10003747,1100066,0,movie,0,,2024-12-09 00:00:00
10003754,1100085,8400002,quiz,5,84.0,2025-01-16 00:00:00
10003906,1100094,0,quiz,6,60.0,2024-12-12 23:59:58
10003954,1100004,8400002,quiz,7,70.0,2024-10-29 00:00:00
10004352,1100013,0,quiz,8,61.0,2024-10-30 23:59:58
10004414,1100045,0,movie,0,,2024-10-30 00:00:00
10004551,1100068,0,quiz,7,64.0,2024-10-24 23:59:58
10004670,1100036,0,movie,0,,2024-10-21 00:00:00
10005157,1100024,0,movie,0,,2024-12-02 00:00:00
10005654,1100046,8400002,movie,0,,2024-12-09 00:00:00
10005717,1100030,8400001,movie,0,,2024-11-14 00:00:00
10005770,1100022,0,quiz,1,86.0,2024-11-03 00:00:00
10005773,1100022,0,movie,0,,2024-10-29 00:00:00
10005878,1100048,0,movie,0,,2024-11-24 23:59:58
10005906,1100054,0,movie,0,,2024-12-28 23:59:58
10005962,1100090,8400001,quiz,8,79.0,2025-01-05 00:00:00
10006140,1100048,8400001,movie,0,,2025-01-16 00:00:00
10006259,1100052,8400001,movie,0,,2024-11-11 00:00:00
10006358,1100075,8400002,quiz,3,92.0,2024-10-24 00:00:00
10006369,1100010,0,movie,0,,2025-01-11 23:59:58
10006387,1100044,0,quiz,5,76.0,2025-01-15 00:00:00
10006502,1100099,0,movie,0,,2024-11-11 23:59:58
10006515,1100089,8400002,movie,0,,2024-12-17 00:00:00
10006565,1100068,0,quiz,6,58.0,2024-11-07 23:59:58
10006616,1100073,8400002,movie,0,,2024-10-23 00:00:00
10006642,1100083,8400002,quiz,9,92.0,2024-12-18 00:00:00
10006701,1100089,8400002,quiz,6,89.0,2024-12-20 00:00:00
10006759,1100052,8400001,movie,0,,2024-11-15 00:00:00
10006776,1100023,0,quiz,7,82.0,2024-10-25 00:00:00
10006939,1100017,8400002,movie,0,,2024-11-01 00:00:00
10007060,1100065,8400001,movie,0,,2024-10-23 00:00:00
10007172,1100085,8400002,movie,0,,2024-12-03 00:00:00
10007222,1100038,0,quiz,7,56.0,2024-10-28 23:59:58
10007332,1100030,8400001,movie,0,,2024-11-14 00:00:00
10007381,1100086,0,quiz,10,64.0,2024-11-03 23:59:58
10007383,1100029,8400002,movie,0,,2025-01-14 00:00:00
10007417,1100071,0,movie,0,,2024-12-18 00:00:00
10007442,1100010,0,movie,0,,2025-01-09 00:00:00
10007498,1100072,0,movie,0,,2024-10-23 00:00:00
10007541,1100069,8400002,quiz,2,98.0,2024-11-01 00:00:00
10007604,1100056,0,movie,0,,2024-11-25 00:00:00
10007696,1100060,0,movie,0,,2025-01-01 23:59:58
10007811,1100086,8400002,quiz,9,91.0,2024-12-13 00:00:00
10007997,1100025,8400002,movie,0,,2024-11-29 00:00:00
10008024,1100089,0,movie,0,,2024-11-06 23:59:58
10008322,1100021,8400002,movie,0,,2024-10-30 00:00:00
10008399,1100030,8400001,quiz,5,76.0,2024-12-05 00:00:00
10008499,1100098,8400001,quiz,8,71.0,2024-12-05 00:00:00
10008528,1100078,0,quiz,7,77.0,2024-10-23 23:59:58
10008573,1100087,0,quiz,10,52.0,2024-12-16 00:00:00
10008629,1100045,0,quiz,7,67.0,2024-11-18 00:00:00
10008643,1100024,0,quiz,10,88.0,2024-11-04 00:00:00
10008879,1100027,0,quiz,7,70.0,2025-01-12 23:59:58
10008887,1100075,8400002,movie,0,,2024-12-03 00:00:00
10008992,1100045,0,movie,0,,2024-10-26 23:59:58
10009110,1100025,8400002,movie,0,,2024-11-22 00:00:00
10009163,1100006,8400001,quiz,6,57.0,2025-01-06 00:00:00
10009252,1100019,0,quiz,3,71.0,2024-11-05 00:00:00
10009262,1100030,8400001,quiz,7,67.0,2024-11-13 00:00:00
10009298,1100053,8400002,quiz,4,62.0,2025-01-08 00:00:00
10009345,1100059,0,movie,0,,2024-11-03 00:00:00
10009348,1100066,0,movie,0,,2025-01-10 00:00:00
10009357,1100041,0,quiz,10,92.0,2024-10-31 23:59:58
10009360,1100069,8400002,quiz,2,83.0,2025-01-13 00:00:00
10009501,1100054,0,movie,0,,2024-11-25 23:59:58
10009662,1100039,8400002,movie,0,,2024-10-21 00:00:00
10009856,1100044,0,movie,0,,2024-11-19 00:00:00
10010071,1100055,0,quiz,5,97.0,2024-11-02 00:00:00
10010262,1100025,8400002,quiz,8,52.0,2024-11-19 00:00:00
10010294,1100033,8400001,movie,0,,2025-01-13 00:00:00
10010513,1100033,8400001,quiz,8,72.0,2024-12-04 00:00:00
10010563,1100017,8400002,movie,0,,2024-11-19 00:00:00
10010885,1100058,8400001,quiz,9,64.0,2024-11-13 00:00:00
10011034,1100086,0,movie,0,,2024-12-26 23:59:58
10011063,1100066,0,movie,0,,2025-01-14 00:00:00
10011071,1100075,8400002,movie,0,,2024-11-04 00:00:00
10011344,1100074,0,quiz,2,59.0,2024-11-19 23:59:58
10011459,1100035,8400002,movie,0,,2024-11-09 00:00:00
10011525,1100063,8400001,quiz,5,91.0,2024-11-08 00:00:00
10011892,1100018,8400001,movie,0,,2024-12-09 00:00:00
10011970,1100059,0,quiz,8,67.0,2024-12-18 23:59:58
10012102,1100009,8400002,movie,0,,2024-10-28 00:00:00
10012252,1100029,8400002,movie,0,,2024-12-27 00:00:00
10012269,1100048,8400001,movie,0,,2024-11-21 00:00:00
10012551,1100071,0,quiz,6,94.0,2024-10-27 23:59:58
10012673,1100008,0,movie,0,,2024-11-19 00:00:00
10012866,1100016,8400002,quiz,8,93.0,2024-11-20 00:00:00
10012868,1100035,8400002,movie,0,,2025-01-05 00:00:00
10012887,1100021,8400002,movie,0,,2025-01-06 00:00:00
10013148,1100049,8400002,quiz,8,58.0,2024-12-04 00:00:00
10013219,1100097,8400002,quiz,4,61.0,2024-11-08 00:00:00
10013452,1100060,8400002,movie,0,,2024-11-07 00:00:00
10013518,1100087,0,movie,0,,2024-11-01 00:00:00
10013721,1100064,8400002,movie,0,,2024-12-04 00:00:00
10013915,1100081,0,movie,0,,2025-01-15 23:59:58
